0,222,29,6
2677,220,34,10
2673,227,33,3
2661,221,27,7
2665,215,29,14
2669,221,31,8
2673,216,28,7
2665,223,33,9
2665,218,29,9
2669,224,33,5
2661,220,29,10
2669,219,31,5
2673,228,27,2
2657,220,28,5
2669,219,31,3
2669,220,32,4
2669,221,36,3
2661,219,32,2
2665,226,26,6
2673,229,30,5
2669,221,31,8
2669,222,30,9
2713,214,29,10
2657,214,33,10
2661,214,26,12
2677,226,29,9
2713,220,31,11
2665,222,33,9
2673,220,33,7
2677,228,32,5
2669,221,28,7
2665,221,34,7
2725,228,29,7
2673,216,28,13
2721,222,27,11
2661,223,28,9
2661,219,32,9
2669,220,30,9
2673,225,34,7
2665,224,35,7
2665,222,31,9
2669,219,32,8
2665,222,29,7
2681,224,31,6
2657,222,24,9
2709,217,28,14
2717,229,32,4
2677,222,33,6
2661,220,34,8
2657,222,30,9
2717,217,35,9
2717,229,32,4
2669,222,29,13
2713,226,30,8
2669,220,31,10
2665,222,31,10
2669,218,32,8
2661,227,31,6
2657,222,27,5
2669,229,28,12
2673,219,30,11
2673,222,30,8
2661,222,27,4
2661,224,27,6
2673,219,30,6
2689,230,32,2
2661,225,28,4
2665,222,33,-2
2665,228,31,0
2673,221,29,7
2673,228,28,0
2661,226,28,2
2665,230,34,-4
2669,226,35,7
2661,227,29,6
2669,220,28,6
2657,220,29,9
2665,226,31,6
2669,225,31,12
2725,223,31,13
2661,218,33,8
2657,218,33,11
2725,218,31,15
2725,217,34,16
2717,217,36,14
2669,222,39,7
2669,218,31,4
2669,226,31,2
2661,222,32,2
2661,227,31,0
2681,222,30,5
2673,223,25,5
2673,216,26,-5
2665,221,20,-1
2661,222,24,7
2669,223,28,4
2677,220,27,2
2665,225,26,5
2657,220,24,10
2721,225,22,5
2681,219,31,7
2673,218,25,3
2661,217,26,3
2669,223,28,5
2665,228,28,3
2669,225,28,6
2661,220,28,5
2661,215,32,6
2669,231,33,-4
2669,218,35,4
2717,221,30,12
2713,213,27,17
2709,215,36,9
2717,209,32,16
2661,222,34,0
2673,229,39,-2
2669,226,36,3
2669,228,31,5
2661,215,32,12
2669,221,26,8
2661,219,32,15
2673,216,30,9
2669,219,33,7
2725,219,33,9
2669,225,30,5
2661,221,33,5
2673,213,27,6
2725,224,23,5
2669,218,29,9
2661,222,30,7
2661,222,31,9
2665,219,33,12
2721,214,34,15
2713,218,38,7
2721,216,34,9
2669,218,32,4
2673,218,32,3
2657,224,36,2
2669,222,32,3
2673,229,41,-1
2673,226,34,0
2677,224,36,-4
2673,225,32,-3
2685,227,27,2
2673,228,29,1
2673,222,30,5
2661,220,32,5
2717,227,23,3
2661,222,29,5
2669,222,29,4
2669,227,32,-1
2665,224,29,0
2677,234,27,-1
2685,228,30,-3
2677,221,29,7
2669,221,32,1
2677,225,27,5
2673,222,29,6
2665,222,26,4
2669,220,30,6
2661,225,26,7
2661,225,25,3
2661,232,27,6
2665,227,30,2
2681,225,27,2
2669,215,26,2
2661,218,25,3
2669,220,25,6
2677,231,24,-1
2669,221,25,9
2661,226,25,6
2661,217,22,11
2665,216,27,12
2725,218,28,15
2657,220,23,7
2665,203,29,19
2725,217,27,16
2713,215,29,9
2661,208,27,10
2661,224,31,3
2669,226,34,5
2673,223,24,9
2721,225,33,9
2661,219,28,8
2673,222,29,4
2673,228,27,5
2677,217,28,8
2669,227,35,6
2669,212,31,2
2681,225,32,-2
2677,223,31,1
2673,223,27,0
2661,216,30,6
2661,225,31,6
2665,213,30,8
2673,229,40,6
2661,219,39,6
2661,220,38,3
2661,222,38,2
2669,213,31,2
2673,213,36,8
2677,222,39,-2
2665,224,22,-5
2673,224,28,-2
2681,224,29,-4
2677,226,30,-4
2677,223,27,-3
2677,216,26,0
2661,227,33,2
2689,232,23,-2
2677,227,26,-2
2661,222,29,3
2661,224,26,2
2669,230,29,3
2729,225,28,12
2713,218,31,12
2669,222,26,10
2725,215,23,16
2721,213,23,16
2721,215,26,12
2665,221,23,6
2673,219,26,8
2677,229,39,-2
2661,225,29,6
2669,225,27,1
2669,220,25,3
2677,218,25,8
2661,219,23,8
2657,222,25,10
2717,227,26,5
2669,221,27,1
2665,227,28,2
2669,223,31,-1
2677,227,31,0
2685,224,27,-7
2681,227,35,0
2665,218,25,5
2661,219,24,4
2665,222,24,5
2673,219,26,9
2721,219,30,11
2665,221,34,1
2661,220,31,6
2669,218,31,15
2729,220,30,10
2713,220,29,10
2665,213,30,9
2673,219,32,9
2677,221,34,6
2669,229,30,6
2661,226,32,-1
2657,221,27,2
2673,225,26,0
2677,223,33,2
2661,218,33,5
2661,218,28,5
2677,222,29,7
2673,213,31,10
2673,222,30,5
2665,220,31,3
2661,219,29,2
2669,231,28,-5
2681,211,26,3
2669,214,28,3
2669,215,28,6
2665,220,28,3
2669,220,24,4
2673,219,29,3
2669,229,31,-1
2665,220,38,8
2661,231,24,2
2681,226,24,3
2677,223,25,2
2661,225,28,3
2657,225,25,5
2657,221,27,0
2669,234,33,0
2677,225,28,2
2669,218,34,4
2657,222,27,7
2661,222,28,6
2669,222,25,7
2673,217,24,10
2709,218,36,6
2661,219,25,11
2681,228,24,4
2677,221,27,5
2665,220,29,7
2661,219,28,7
2665,220,26,4
2669,220,20,9
2673,225,24,0
2661,225,30,5
2661,222,28,5
2669,215,25,2
2673,223,24,5
2673,223,25,6
2661,230,23,-2
2669,229,25,5
2661,225,26,2
2669,221,26,6
2661,220,25,3
2661,221,27,-1
2665,229,29,0
2677,225,29,5
2673,222,27,7
2685,218,31,5
2669,221,31,3
2669,221,27,4
2673,222,31,3
2681,224,28,4
2669,219,33,2
2661,223,31,2
2673,216,29,9
2669,220,30,6
2677,221,30,6
2661,223,27,4
2661,224,26,5
2669,219,29,5
2673,221,22,4
2673,221,32,-1
2661,222,28,4
2661,223,30,1
2665,222,25,2
2673,225,28,-1
2681,232,28,6
2661,225,21,2
2709,220,27,4
2669,223,27,6
2673,218,29,5
2669,217,28,6
2657,220,33,1
2661,211,27,9
2717,221,27,11
2673,218,34,7
2661,222,31,6
2657,226,29,7
2717,221,28,10
2677,225,29,6
2717,219,29,6
2709,222,30,15
2673,228,30,6
2669,221,29,7
2673,224,31,5
2661,223,28,2
2669,230,29,-2
2681,221,21,4
2677,230,23,2
2657,227,29,-2
2657,225,26,2
2665,224,30,1
2669,221,33,1
2669,222,31,9
2657,240,32,-2
2665,226,34,4
2669,221,27,3
2665,220,28,6
2673,222,28,3
2657,217,28,6
2661,216,28,9
2669,219,25,16
2673,216,25,4
2669,222,34,3
2669,221,31,2
2661,220,32,5
2669,222,35,3
2677,228,33,-1
2669,234,23,4
2657,217,30,11
2669,216,32,4
2661,221,29,3
2673,224,29,1
2657,224,28,4
2661,224,31,1
2677,221,28,5
2673,227,27,0
2673,232,25,1
2665,218,29,3
2657,222,27,4
2665,223,29,5
2669,226,30,3
2669,225,27,-3
2665,230,18,10
2661,222,26,6
2673,219,27,8
2673,218,27,7
2669,219,28,4
2669,220,30,4
2665,223,30,-1
2669,220,21,0
2685,226,27,1
2665,223,26,4
2657,222,26,3
2669,220,27,4
2669,218,26,5
2673,218,30,6
2661,223,28,3
2661,220,34,3
2665,219,29,5
2669,228,29,6
2673,222,30,5
2669,220,31,4
2661,222,30,7
2673,219,25,3
2669,224,26,5
2669,224,29,0
2665,226,30,0
2665,225,29,6
2669,222,28,5
2669,223,27,3
2677,231,27,1
2657,223,23,5
2661,228,29,1
2665,219,27,3
2673,222,26,4
2661,223,29,5
2661,213,32,0
2661,230,30,-1
2673,224,27,2
2677,219,29,6
2669,221,25,6
2657,217,29,5
2661,219,28,6
2669,214,31,10
2669,215,29,11
2661,221,24,4
2661,219,27,6
2669,224,28,5
2665,220,30,3
2669,220,28,6
2661,218,34,2
2657,228,31,2
2661,226,27,-2
2673,225,27,2
2677,224,29,1
2669,224,28,-2
2665,227,29,-2
2681,222,31,-3
2677,224,28,-1
2673,240,28,3
2657,219,24,3
2665,219,25,5
2669,220,28,5
2681,217,27,8
