58	ILNUR ZAKARIN 	181	TEAM KATUSHA ALPECIN 	05h 56' 55''	+ 00h 22' 40''	-	-
59	ANTHONY PEREZ 	155	COFIDIS, SOLUTIONS CREDITS 	05h 56' 55''	+ 00h 22' 40''	-	-
60	BENOIT COSNEFROY 	33	AG2R LA MONDIALE 	05h 57' 23''	+ 00h 23' 08''	-	-
61	JESUS HERRADA 	154	COFIDIS, SOLUTIONS CREDITS 	05h 58' 09''	+ 00h 23' 54''	-	-
62	MAXIME BOUET 	212	TEAM ARKEA - SAMSIC 	05h 59' 51''	+ 00h 25' 36''	-	-
63	CHAD HAGA 	144	TEAM SUNWEB 	06h 00' 01''	+ 00h 25' 46''	-	-
64	CARLOS VERONA QUINTANILLA 	68	MOVISTAR TEAM 	06h 00' 01''	+ 00h 25' 46''	-	-
65	ANDREY AMADOR 	63	MOVISTAR TEAM 	06h 00' 01''	+ 00h 25' 46''	-	-
66	GORKA IZAGUIRRE INSAUSTI 	75	ASTANA PRO TEAM 	06h 00' 01''	+ 00h 25' 46''	-	-
67	MATTHIEU LADAGNOUS 	55	GROUPAMA - FDJ 	06h 00' 01''	+ 00h 25' 46''	-	-
68	SERGIO LUIS HENAO MONTOYA 	125	UAE TEAM EMIRATES 	06h 00' 01''	+ 00h 25' 46''	-	-
69	AMUND JANSEN 	85	TEAM JUMBO - VISMA 	06h 00' 07''	+ 00h 25' 52''	-	-
70	DANIEL MARTIN 	121	UAE TEAM EMIRATES 	06h 02' 17''	+ 00h 28' 02''	-	-
71	FREDERIK BACKAERT 	192	WANTY - GOBERT CYCLING TEAM 	06h 02' 21''	+ 00h 28' 06''	-	-
72	MAXIMILIANO RICHEZE 	27	DECEUNINCK - QUICK - STEP 	06h 02' 22''	+ 00h 28' 07''	-	-
73	TONY GALLOPIN 	35	AG2R LA MONDIALE 	06h 02' 22''	+ 00h 28' 07''	-	-
74	JACK HAIG 	103	MITCHELTON - SCOTT 	06h 02' 22''	+ 00h 28' 07''	-	-
75	AMAEL MOINARD 	217	TEAM ARKEA - SAMSIC 	06h 02' 22''	+ 00h 28' 07''	-	-
76	HUGO HOULE 	74	ASTANA PRO TEAM 	06h 02' 22''	+ 00h 28' 07''	-	-
77	LILIAN CALMEJANE 	171	TOTAL DIRECT ENERGIE 	06h 03' 19''	+ 00h 29' 04''	-	-
78	BAUKE MOLLEMA 	136	TREK - SEGAFREDO 	06h 03' 38''	+ 00h 29' 23''	-	-
79	PIERRE LUC PERICHON 	156	COFIDIS, SOLUTIONS CREDITS 	06h 03' 40''	+ 00h 29' 25''	-	-
80	ANTHONY DELAPLACE 	213	TEAM ARKEA - SAMSIC 	06h 03' 40''	+ 00h 29' 25''	-	-
81	CHRISTOPHER JUUL JENSEN 	106	MITCHELTON - SCOTT 	06h 03' 47''	+ 00h 29' 32''	-	-
82	MAGNUS CORT NIELSEN 	77	ASTANA PRO TEAM 	06h 03' 57''	+ 00h 29' 42''	-	-
83	THOMAS DE GENDT 	164	LOTTO SOUDAL 	06h 04' 04''	+ 00h 29' 49''	-	-
84	JASPER DE BUYST 	163	LOTTO SOUDAL 	06h 04' 04''	+ 00h 29' 49''	-	-
85	RUI COSTA 	124	UAE TEAM EMIRATES 	06h 04' 04''	+ 00h 29' 49''	-	-
86	KOEN DE KORT 	134	TREK - SEGAFREDO 	06h 04' 14''	+ 00h 29' 59''	-	-
87	GIANNI MOSCON 	5	TEAM INEOS 	06h 04' 14''	+ 00h 29' 59''	-	-
88	DANIEL OSS 	16	BORA - HANSGROHE 	06h 04' 14''	+ 00h 29' 59''	-	-
89	MICHAL KWIATKOWSKI 	4	TEAM INEOS 	06h 04' 14''	+ 00h 29' 59''	-	-
90	SIMON CLARKE 	93	EF EDUCATION FIRST 	06h 04' 14''	+ 00h 29' 59''	-	-
91	DYLAN TEUNS 	47	BAHRAIN - MERIDA 	06h 04' 14''	+ 00h 29' 59''	-	-
92	NATNAEL BERHANE 	152	COFIDIS, SOLUTIONS CREDITS 	06h 04' 14''	+ 00h 29' 59''	-	-
93	NELSON OLIVEIRA 	66	MOVISTAR TEAM 	06h 04' 14''	+ 00h 29' 59''	-	-
94	IMANOL ERVITI 	64	MOVISTAR TEAM 	06h 04' 14''	+ 00h 29' 59''	-	-
95	DARYL IMPEY 	105	MITCHELTON - SCOTT 	06h 04' 14''	+ 00h 29' 59''	-	-
96	ELIE GESBERT 	214	TEAM ARKEA - SAMSIC 	06h 04' 14''	+ 00h 29' 59''	-	-
97	SIMON YATES 	108	MITCHELTON - SCOTT 	06h 04' 14''	+ 00h 29' 59''	-	-
98	JAN TRATNIK 	48	BAHRAIN - MERIDA 	06h 04' 14''	+ 00h 29' 59''	-	-
99	ANTHONY ROUX 	58	GROUPAMA - FDJ 	06h 04' 14''	+ 00h 29' 59''	-	-
100	ROMAIN SICARD 	175	TOTAL DIRECT ENERGIE 	06h 04' 14''	+ 00h 29' 59''	-	-
101	KEVIN LEDANOIS 	216	TEAM ARKEA - SAMSIC 	06h 04' 14''	+ 00h 29' 59''	-	-
102	AIME DE GENDT 	193	WANTY - GOBERT CYCLING TEAM 	06h 04' 14''	+ 00h 29' 59''	-	-
103	NIKIAS ARNDT 	142	TEAM SUNWEB 	06h 04' 14''	+ 00h 29' 59''	-	-
104	MICHAEL MATTHEWS 	141	TEAM SUNWEB 	06h 04' 14''	+ 00h 29' 59''	-	-
105	NICOLAS ROCHE 	148	TEAM SUNWEB 	06h 04' 14''	+ 00h 29' 59''	-	-
106	TOMS SKUJINS 	137	TREK - SEGAFREDO 	06h 04' 14''	+ 00h 29' 59''	-	-
107	JASPER STUYVEN 	138	TREK - SEGAFREDO 	06h 04' 14''	+ 00h 29' 59''	-	-
108	PELLO BILBAO LOPEZ DE ARMENTIA 	72	ASTANA PRO TEAM 	06h 04' 14''	+ 00h 29' 59''	-	-
109	YOANN OFFREDO 	196	WANTY - GOBERT CYCLING TEAM 	06h 07' 09''	+ 00h 32' 54''	-	-
110	JENS KEUKELEIRE 	165	LOTTO SOUDAL 	06h 07' 09''	+ 00h 32' 54''	-	-
111	KEVIN VAN MELSEN 	198	WANTY - GOBERT CYCLING TEAM 	06h 07' 09''	+ 00h 32' 54''	-	-
112	MARCO HALLER 	185	TEAM KATUSHA ALPECIN 	06h 07' 09''	+ 00h 32' 54''	-	-
113	STEFAN K‹NG 	54	GROUPAMA - FDJ 	06h 07' 09''	+ 00h 32' 54''	-	-
114	ALEX DOWSETT 	183	TEAM KATUSHA ALPECIN 	06h 07' 09''	+ 00h 32' 54''	-	-
115	ODD CHRISTIAN EIKING 	194	WANTY - GOBERT CYCLING TEAM 	06h 07' 09''	+ 00h 32' 54''	-	-
116	SONNY COLBRELLI 	43	BAHRAIN - MERIDA 	06h 07' 09''	+ 00h 32' 54''	-	-
117	JENS DEBUSSCHERE 	182	TEAM KATUSHA ALPECIN 	06h 07' 09''	+ 00h 32' 54''	-	-
